Level,Name,School,Casting Time,Range,Area,Components,Materials,Duration,Concentration,Ritual,Attack/Save,Damage/Effect,Source,Description,URL_absolute,Primary Effect Category,Arcane Status,Divine Status,Nature Status,Elemental Status,Psionics Status
1st,Animal Friendship,Enchantment,1 Action,30 ft.,,"V, S, M",,24 Hours,,,WIS Save,Charmed,,"Target a Beast that you can see within range. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. If you or one of your allies deals damage to the target, the spell ends.

Using a Higher-Level Spell Slot. You can target one additional Beast for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618847-animal-friendship,Nature Interaction,Hard Ban,Hard Ban,Exclusive,Hard Ban,Hard Ban
1st,Beast Bond,Divination,1 Action,,,"V, S, M",,10 Minutes,,,,Buff (...),,"You establish a telepathic link with one beast you touch that is friendly to you or charmed by you. The spell fails if the beast’s Intelligence is 4 or higher. Until the spell ends, the link is active while you and the beast are within line of sight of each other. Through the link, the beast can understand your telepathic messages to it, and it can telepathically communicate simple emotions and concepts back to you. While the link is active, the beast gains advantage on attack rolls against any creature within 5 feet of you that you can see.",https://www.dndbeyond.com/spells/2370-beast-bond,Nature Interaction,Hard Ban,Hard Ban,Exclusive,Hard Ban,Hard Ban
1st,Catapult,Transmutation,1 Action,60 ft.,,S,,Instantaneous,,,DEX Save,Bludgeoning,,"Choose one object weighing 1 to 5 pounds within range that isn’t being worn or carried. The object flies in a straight line up to 90 feet in a direction you choose before falling to the ground, stopping early if it impacts against a solid surface. If the object would strike a creature, that creature must make a Dexterity saving throw. On a failed save, the object strikes the target and stops moving. When the object strikes something, the object and what it strikes each take 3d8 bludgeoning damage.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the maximum weight of objects that you can target with this spell increases by 5 pounds, and the damage increases by 1d8, for each slot level above 1st.",https://www.dndbeyond.com/spells/2372-catapult,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
1st,Create or Destroy Water,Transmutation,1 Action,30 ft.,(30 ft. ),"V, S, M",,Instantaneous,,,,Creation,,"You do one of the following:

Create Water. You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot Cube within range, extinguishing exposed flames there.

Destroy Water. You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot Cube within range.

Using a Higher-Level Spell Slot. You create or destroy 10 additional gallons of water, or the size of the Cube increases by 5 feet, for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619074-create-or-destroy-water,Resource Creation & Sustenance,Hard Ban,Hard Ban,Primary,Hard Ban,Hard Ban
1st,Detect Evil and Good,Divination,1 Action,,(30 ft. ),"V, S",,10 Minutes,,,,Detection,,"For the duration, you sense the location of any Aberration, Celestial, Elemental, Fey, Fiend, or Undead within 30 feet of yourself. You also sense whether the Hallow spell is active there and, if so, where.

The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",https://www.dndbeyond.com/spells/2619090-detect-evil-and-good,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
1st,Detect Magic,Divination,1 Action,,(30 ft. ),"V, S",,10 Minutes,,,,Detection,,"For the duration, you sense the presence of magical effects within 30 feet of yourself. If you sense such effects, you can take the Magic action to see a faint aura around any visible creature or object in the area that bears the magic, and if an effect was created by a spell, you learn the spell’s school of magic.

The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",https://www.dndbeyond.com/spells/2619097-detect-magic,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
1st,Detect Poison and Disease,Divination,1 Action,,(30 ft. ),"V, S, M",,10 Minutes,,,,Detection,,"For the duration, you sense the location of poisons, poisonous or venomous creatures, and magical contagions within 30 feet of yourself. You sense the kind of poison, creature, or contagion in each case.

The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",https://www.dndbeyond.com/spells/2619093-detect-poison-and-disease,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
1st,Earth Tremor,Evocation,1 Action,10 ft.,,"V, S",,Instantaneous,,,DEX Save,Bludgeoning,,"You cause a tremor in the ground within range. Each creature other than you in that area must make a Dexterity saving throw. On a failed save, a creature takes 1d6 bludgeoning damage and is knocked prone . If the ground in that area is loose earth or stone, it becomes difficult terrain until cleared, with each 5-foot-diameter portion requiring at least 1 minute to clear by hand.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",https://www.dndbeyond.com/spells/2378-earth-tremor,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
1st,Ensnaring Strike,Conjuration,1 Bonus Action *,,,V,,1 Minute,,,STR Save,Piercing,,"As you hit the target, grasping vines appear on it, and it makes a Strength saving throw. A Large or larger creature has Advantage on this save. On a failed save, the target has the Restrained condition until the spell ends. On a successful save, the vines shrivel away, and the spell ends.

While Restrained, the target takes 1d6 Piercing damage at the start of each of its turns. The target or a creature within reach of it can take an action to make a Strength ( Athletics ) check against your spell save DC. On a success, the spell ends.

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619172-ensnaring-strike,Nature Interaction,Hard Ban,Hard Ban,Exclusive,Hard Ban,Hard Ban
1st,Entangle,Conjuration,1 Action,90 ft.,(20 ft. ),"V, S",,1 Minute,,,STR Save,Restrained,,"Grasping plants sprout from the ground in a 20-foot square within range. For the duration, these plants turn the ground in the area into Difficult Terrain . They disappear when the spell ends.

Each creature (other than you) in the area when you cast the spell must succeed on a Strength saving throw or have the Restrained condition until the spell ends. A Restrained creature can take an action to make a Strength ( Athletics ) check against your spell save DC. On a success, it frees itself from the grasping plants and is no longer Restrained by them.",https://www.dndbeyond.com/spells/2619186-entangle,Nature Interaction,Hard Ban,Hard Ban,Exclusive,Hard Ban,Hard Ban
