Level,Name,School,Casting Time,Range,Area,Components,Materials,Duration,Concentration,Ritual,Attack/Save,Damage/Effect,Source,Description,URL_absolute,Primary Effect Category,Arcane Status,Divine Status,Nature Status,Elemental Status,Psionics Status
1st,Arms of Hadar,Conjuration,1 Action,,(10 ft. ),"V, S",,Instantaneous,,,STR Save,Necrotic,,"Invoking Hadar, you cause tendrils to erupt from yourself. Each creature in a 10-foot Emanation originating from you makes a Strength saving throw. On a failed save, a target takes 2d6 Necrotic damage and can’t take Reactions until the start of its next turn. On a successful save, a target takes half as much damage only.

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618871-arms-of-hadar,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Catapult,Transmutation,1 Action,60 ft.,,S,,Instantaneous,,,DEX Save,Bludgeoning,,"Choose one object weighing 1 to 5 pounds within range that isn’t being worn or carried. The object flies in a straight line up to 90 feet in a direction you choose before falling to the ground, stopping early if it impacts against a solid surface. If the object would strike a creature, that creature must make a Dexterity saving throw. On a failed save, the object strikes the target and stops moving. When the object strikes something, the object and what it strikes each take 3d8 bludgeoning damage.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the maximum weight of objects that you can target with this spell increases by 5 pounds, and the damage increases by 1d8, for each slot level above 1st.",https://www.dndbeyond.com/spells/2372-catapult,Transformation / Polymorph,Primary,Hard Ban,Secondary,Hard Ban,Hard Ban
1st,Color Spray,Illusion,1 Action,,(15 ft. ),"V, S, M",,Instantaneous,,,CON Save,Blinded,,"You launch a dazzling array of flashing, colorful light. Each creature in a 15-foot Cone originating from you must succeed on a Constitution saving throw or have the Blinded condition until the end of your next turn.",https://www.dndbeyond.com/spells/2618978-color-spray,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
1st,Detect Evil and Good,Divination,1 Action,,(30 ft. ),"V, S",,10 Minutes,,,,Detection,,"For the duration, you sense the location of any Aberration, Celestial, Elemental, Fey, Fiend, or Undead within 30 feet of yourself. You also sense whether the Hallow spell is active there and, if so, where.

The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",https://www.dndbeyond.com/spells/2619090-detect-evil-and-good,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
1st,Detect Magic,Divination,1 Action,,(30 ft. ),"V, S",,10 Minutes,,,,Detection,,"For the duration, you sense the presence of magical effects within 30 feet of yourself. If you sense such effects, you can take the Magic action to see a faint aura around any visible creature or object in the area that bears the magic, and if an effect was created by a spell, you learn the spell’s school of magic.

The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",https://www.dndbeyond.com/spells/2619097-detect-magic,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
1st,Detect Poison and Disease,Divination,1 Action,,(30 ft. ),"V, S, M",,10 Minutes,,,,Detection,,"For the duration, you sense the location of poisons, poisonous or venomous creatures, and magical contagions within 30 feet of yourself. You sense the kind of poison, creature, or contagion in each case.

The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",https://www.dndbeyond.com/spells/2619093-detect-poison-and-disease,Divination — Detection,Secondary,Hard Ban,Secondary,Hard Ban,Primary
1st,Disguise Self,Illusion,1 Action,,,"V, S",,1 Hour,,,,Shapechanging,,"You make yourself—including your clothing, armor, weapons, and other belongings on your person—look different until the spell ends. You can seem 1 foot shorter or taller and can appear heavier or lighter. You must adopt a form that has the same basic arrangement of limbs as you have. Otherwise, the extent of the illusion is up to you.

The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing.

To discern that you are disguised, a creature must take the Study action to inspect your appearance and succeed on an Intelligence ( Investigation ) check against your spell save DC.",https://www.dndbeyond.com/spells/2619102-disguise-self,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
1st,Distort Value,Illusion,1 Minute,,(1 ft. ),V,,8 Hours,,,,,,"Do you need to squeeze a few more gold pieces out of a merchant as you try to sell that weird octopus statue you liberated from the chaos temple? Do you need to downplay the worth of some magical assets when the tax collector stops by? Distort Value has you covered.

You cast this spell on an object no more than 1 foot on a side, doubling the object’s perceived value by adding illusory flourishes or polish to it, or reducing its perceived value by half with the help of illusory scratches, dents, and other unsightly features. Anyone examining the object can ascertain its true value with a successful Intelligence ( Investigation ) check against your spell save DC.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the maximum size of the object increases by 1 foot for each slot level above 1st.",https://www.dndbeyond.com/spells/188092-distort-value,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
1st,Expeditious Retreat,Transmutation,1 Bonus Action,,,"V, S",,10 Minutes,,,,Movement,,"You take the Dash action, and until the spell ends, you can take that action again as a Bonus Action.",https://www.dndbeyond.com/spells/2619189-expeditious-retreat,Movement Enhancement,Primary,Hard Ban,Secondary,Hard Ban,Primary
1st,Faerie Fire,Evocation,1 Action,60 ft.,(20 ft. ),V,,1 Minute,,,DEX Save,Debuff,,"Objects in a 20-foot Cube within range are outlined in blue, green, or violet light (your choice). Each creature in the Cube is also outlined if it fails a Dexterity saving throw. For the duration, objects and affected creatures shed Dim Light in a 10-foot radius and can’t benefit from the Invisible condition.

Attack rolls against an affected creature or object have Advantage if the attacker can see it.",https://www.dndbeyond.com/spells/2618858-faerie-fire,Illusions & Glamours,Exclusive,Hard Ban,Hard Ban,Hard Ban,Hard Ban
