Level,Name,School,Casting Time,Range,Area,Components,Materials,Duration,Concentration,Ritual,Attack/Save,Damage/Effect,Source,Description,URL_absolute,Primary Effect Category,Arcane Status,Divine Status,Nature Status,Elemental Status,Psionics Status
1st,Alarm,Abjuration,1 Minute,30 ft.,(20 ft. ),"V, S, M",,8 Hours,,,,Detection,,"You set an alarm against intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot Cube. Until the spell ends, an alarm alerts you whenever a creature touches or enters the warded area. When you cast the spell, you can designate creatures that won’t set off the alarm. You also choose whether the alarm is audible or mental:

Audible Alarm. The alarm produces the sound of a handbell for 10 seconds within 60 feet of the warded area.

Mental Alarm. You are alerted by a mental ping if you are within 1 mile of the warded area. This ping awakens you if you’re asleep.",https://www.dndbeyond.com/spells/2619222-alarm,Wards & Sanctuaries,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
1st,Armor of Agathys,Abjuration,1 Bonus Action,,,"V, S, M",,1 Hour,,,,Cold,,"Protective magical frost surrounds you. You gain 5 Temporary Hit Points . If a creature hits you with a melee attack roll before the spell ends, the creature takes 5 Cold damage. The spell ends early if you have no Temporary Hit Points.

Using a Higher-Level Spell Slot. The Temporary Hit Points and the Cold damage both increase by 5 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618870-armor-of-agathys,Wards & Sanctuaries,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
1st,Bane,Enchantment,1 Action,30 ft.,,"V, S, M",,1 Minute,,,CHA Save,Debuff,,"Up to three creatures of your choice that you can see within range must each make a Charisma saving throw. Whenever a target that fails this save makes an attack roll or a saving throw before the spell ends, the target must subtract 1d4 from the attack roll or save.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618900-bane,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
1st,Bless,Enchantment,1 Action,30 ft.,,"V, S, M",,1 Minute,,,,Buff,,"You bless up to three creatures within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target adds 1d4 to the attack roll or save.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618933-bless,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
1st,Command,Enchantment,1 Action,60 ft.,,V,,Instantaneous,,,WIS Save,Prone,,"You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. Choose the command from these options:

Approach. The target moves toward you by the shortest and most direct route, ending its turn if it moves within 5 feet of you.

Drop. The target drops whatever it is holding and then ends its turn.

Flee. The target spends its turn moving away from you by the fastest available means.

Grovel. The target has the Prone condition and then ends its turn.

Halt. On its turn, the target doesn’t move and takes no action or Bonus Action.

Using a Higher-Level Spell Slot. You can affect one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618985-command,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
1st,Compelled Duel,Enchantment,1 Bonus Action,30 ft.,,V,,1 Minute,,,WIS Save,Control (...),,"You try to compel a creature into a duel. One creature that you can see within range makes a Wisdom saving throw. On a failed save, the target has Disadvantage on attack rolls against creatures other than you, and it can’t willingly move to a space that is more than 30 feet away from you.

The spell ends if you make an attack roll against a creature other than the target, if you cast a spell on an enemy other than the target, if an ally of yours damages the target, or if you end your turn more than 30 feet away from the target.",https://www.dndbeyond.com/spells/2618990-compelled-duel,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
1st,Comprehend Languages,Divination,1 Action,,,"V, S, M",,1 Hour,,,,Social,,"For the duration, you understand the literal meaning of any language that you hear or see signed. You also understand any written language that you see, but you must be touching the surface on which the words are written. It takes about 1 minute to read one page of text. This spell doesn’t decode symbols or secret messages.",https://www.dndbeyond.com/spells/2618993-comprehend-languages,Communication & Language,Hard Ban,Secondary,Hard Ban,Hard Ban,Exclusive
1st,Cure Wounds,Abjuration,1 Action,,,"V, S",,Instantaneous,,,,Healing,,"A creature you touch regains a number of Hit Points equal to 2d8 plus your spellcasting ability modifier.

Using a Higher-Level Spell Slot. The healing increases by 2d8 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619079-cure-wounds,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
1st,Divine Favor,Transmutation,1 Bonus Action,,,"V, S",,1 Minute,,,,Radiant,,"Until the spell ends, your attacks with weapons deal an extra 1d4 Radiant damage on a hit.",https://www.dndbeyond.com/spells/2619142-divine-favor,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
1st,Find Familiar,Conjuration,1 Hour,10 ft.,,"V, S, M",,Instantaneous,,,,Summoning,,"You gain the service of a familiar, a spirit that takes an animal form you choose: Bat , Cat , Frog , Hawk , Lizard , Octopus , Owl , Rat , Raven , Spider , Weasel , or another Beast that has a Challenge Rating of 0 . Appearing in an unoccupied space within range, the familiar has the statistics of the chosen form, though it is a Celestial, Fey, or Fiend (your choice) instead of a Beast. Your familiar acts independently of you, but it obeys your commands.

Telepathic Connection. While your familiar is within 100 feet of you, you can communicate with it telepathically. Additionally, as a Bonus Action, you can see through the familiar’s eyes and hear what it hears until the start of your next turn, gaining the benefits of any special senses it has.

Finally, when you cast a spell with a range of touch, your familiar can deliver the touch. Your familiar must be within 100 feet of you, and it must take a Reaction to deliver the touch when you cast the spell.

Combat. The familiar is an ally to you and your allies. It rolls its own Initiative and acts on its own turn. A familiar can’t attack, but it can take other actions as normal.

Disappearance of the Familiar. When the familiar drops to 0 Hit Points, it disappears. It reappears after you cast this spell again. As a Magic action, you can temporarily dismiss the familiar to a pocket dimension. Alternatively, you can dismiss it forever. As a Magic action while it is temporarily dismissed, you can cause it to reappear in an unoccupied space within 30 feet of you. Whenever the familiar drops to 0 Hit Points or disappears into the pocket dimension, it leaves behind in its space anything it was wearing or carrying.

One Familiar Only. You can’t have more than one familiar at a time. If you cast this spell while you have a familiar, you instead cause it to adopt a new eligible form.",https://www.dndbeyond.com/spells/2618877-find-familiar,Summoning — Extraplanar,Hard Ban,Secondary,Hard Ban,Hard Ban,Hard Ban
1st,Healing Word,Abjuration,1 Bonus Action,60 ft.,,V,,Instantaneous,,,,Healing,,"A creature of your choice that you can see within range regains Hit Points equal to 2d4 plus your spellcasting ability modifier.

Using a Higher-Level Spell Slot. The healing increases by 2d4 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619143-healing-word,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
1st,Heroism,Enchantment,1 Action,,,"V, S",,1 Minute,,,,Frightened,,"A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to the Frightened condition and gains Temporary Hit Points equal to your spellcasting ability modifier at the start of each of its turns.

Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619151-heroism,Conditions & Debuffs,Hard Ban,Primary,Hard Ban,Hard Ban,Secondary
1st,Hex,Enchantment,1 Bonus Action,90 ft.,,"V, S, M",,1 Hour,,,,Necrotic,,"You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 Necrotic damage to the target whenever you hit it with an attack roll. Also, choose one ability when you cast the spell. The target has Disadvantage on ability checks made with the chosen ability.

If the target drops to 0 Hit Points before this spell ends, you can take a Bonus Action on a later turn to curse a new creature.

Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 2 (up to 4 hours), 3–4 (up to 8 hours), or 5+ (24 hours).",https://www.dndbeyond.com/spells/2618988-hex,Curses & Hexes,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
1st,Hunter's Mark,Divination,1 Bonus Action,90 ft.,,V,,1 Hour,,,,Force,,"You magically mark one creature you can see within range as your quarry. Until the spell ends, you deal an extra 1d6 Force damage to the target whenever you hit it with an attack roll. You also have Advantage on any Wisdom ( Perception or Survival ) check you make to find it.

If the target drops to 0 Hit Points before this spell ends, you can take a Bonus Action to move the mark to a new creature you can see within range.

Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 3–4 (up to 8 hours) or 5+ (up to 24 hours).",https://www.dndbeyond.com/spells/2619166-hunters-mark,Curses & Hexes,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
1st,Mage Armor,Abjuration,1 Action,,,"V, S, M",,8 Hours,,,,Buff (...),,"You touch a willing creature who isn’t wearing armor. Until the spell ends, the target’s base AC becomes 13 plus its Dexterity modifier. The spell ends early if the target dons armor.",https://www.dndbeyond.com/spells/2619006-mage-armor,Wards & Sanctuaries,Hard Ban,Primary,Hard Ban,Hard Ban,Hard Ban
