Level,Name,School,Casting Time,Range,Area,Components,Materials,Duration,Concentration,Ritual,Attack/Save,Damage/Effect,Source,Description,URL_absolute,Primary Effect Category,Arcane Status,Divine Status,Nature Status,Elemental Status,Psionics Status
1st,Absorb Elements,Abjuration,1 Reaction *,,,S,,1 Round,,,,Acid (...),,"The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have resistance to the triggering damage type until the start of your next turn. Also, the first time you hit with a melee attack on your next turn, the target takes an extra 1d6 damage of the triggering type, and the spell ends.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st.",https://www.dndbeyond.com/spells/2368-absorb-elements,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Arms of Hadar,Conjuration,1 Action,,(10 ft. ),"V, S",,Instantaneous,,,STR Save,Necrotic,,"Invoking Hadar, you cause tendrils to erupt from yourself. Each creature in a 10-foot Emanation originating from you makes a Strength saving throw. On a failed save, a target takes 2d6 Necrotic damage and can’t take Reactions until the start of its next turn. On a successful save, a target takes half as much damage only.

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618871-arms-of-hadar,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
1st,Burning Hands,Evocation,1 Action,,(15 ft. ),"V, S",,Instantaneous,,,DEX Save,Fire,,"A thin sheet of flames shoots forth from you. Each creature in a 15-foot Cone makes a Dexterity saving throw, taking 3d6 Fire damage on a failed save or half as much damage on a successful one.

Flammable objects in the Cone that aren’t being worn or carried start burning .

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618946-burning-hands,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Chaos Bolt,Evocation,1 Action,120 ft.,,"V, S",,Instantaneous,,,Ranged,Acid (...),,"You hurl an undulating, warbling mass of chaotic energy at one creature in range. Make a ranged spell attack against the target. On a hit, the target takes 2d8 + 1d6 damage. Choose one of the d8s. The number rolled on that die determines the attack’s damage type, as shown below.

If you roll the same number on both d8s, the chaotic energy leaps from the target to a different creature of your choice within 30 feet of it. Make a new attack roll against the new target, and make a new damage roll, which could cause the chaotic energy to leap again.

A creature can be targeted only once by each casting of this spell.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, each target takes 1d6 extra damage of the type rolled for each slot level above 1st.",https://www.dndbeyond.com/spells/14761-chaos-bolt,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Chromatic Orb,Evocation,1 Action,90 ft.,,"V, S, M",,Instantaneous,,,Ranged,Acid (...),,"You hurl an orb of energy at a target within range. Choose Acid, Cold, Fire, Lightning, Poison, or Thunder for the type of orb you create, and then make a ranged spell attack against the target. On a hit, the target takes 3d8 damage of the chosen type.

If you roll the same number on two or more of the d8s, the orb leaps to a different target of your choice within 30 feet of the target. Make an attack roll against the new target, and make a new damage roll. The orb can’t leap again unless you cast the spell with a level 2+ spell slot.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1. The orb can leap a maximum number of times equal to the level of the slot expended, and a creature can be targeted only once by each casting of this spell.",https://www.dndbeyond.com/spells/2618966-chromatic-orb,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Cure Wounds,Abjuration,1 Action,,,"V, S",,Instantaneous,,,,Healing,,"A creature you touch regains a number of Hit Points equal to 2d8 plus your spellcasting ability modifier.

Using a Higher-Level Spell Slot. The healing increases by 2d8 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619079-cure-wounds,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
1st,Divine Smite,Evocation,1 Bonus Action *,,,V,,Instantaneous,,,,Radiant,,"The target takes an extra 2d8 Radiant damage from the attack. The damage increases by 1d8 if the target is a Fiend or an Undead.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618833-divine-smite,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Earth Tremor,Evocation,1 Action,10 ft.,,"V, S",,Instantaneous,,,DEX Save,Bludgeoning,,"You cause a tremor in the ground within range. Each creature other than you in that area must make a Dexterity saving throw. On a failed save, a creature takes 1d6 bludgeoning damage and is knocked prone . If the ground in that area is loose earth or stone, it becomes difficult terrain until cleared, with each 5-foot-diameter portion requiring at least 1 minute to clear by hand.

At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",https://www.dndbeyond.com/spells/2378-earth-tremor,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
1st,Fog Cloud,Conjuration,1 Action,120 ft.,(20 ft. ),"V, S",,1 Hour,,,,Control (...),,"You create a 20-foot-radius Sphere of fog centered on a point within range. The Sphere is Heavily Obscured . It lasts for the duration or until a strong wind (such as one created by Gust of Wind ) disperses it.

Using a Higher-Level Spell Slot. The fog’s radius increases by 20 feet for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618910-fog-cloud,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
1st,Frost Fingers,Evocation,1 Action,,(15 ft. ),"V, S",,Instantaneous,,,CON Save,Cold,,,https://www.dndbeyond.com/spells/654074-frost-fingers,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Grease,Conjuration,1 Action,60 ft.,(10 ft. ),"V, S, M",,1 Minute,,,DEX Save,Prone,,"Nonflammable grease covers the ground in a 10-foot square centered on a point within range and turns it into Difficult Terrain for the duration.

When the grease appears, each creature standing in its area must succeed on a Dexterity saving throw or have the Prone condition. A creature that enters the area or ends its turn there must also succeed on that save or fall Prone.",https://www.dndbeyond.com/spells/2618957-grease,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
1st,Guiding Bolt,Evocation,1 Action,120 ft.,,"V, S",,1 Round,,,Ranged,Radiant,,"You hurl a bolt of light toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 4d6 Radiant damage, and the next attack roll made against it before the end of your next turn has Advantage.

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619136-guiding-bolt,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
1st,Healing Word,Abjuration,1 Bonus Action,60 ft.,,V,,Instantaneous,,,,Healing,,"A creature of your choice that you can see within range regains Hit Points equal to 2d4 plus your spellcasting ability modifier.

Using a Higher-Level Spell Slot. The healing increases by 2d4 for each spell slot level above 1.",https://www.dndbeyond.com/spells/2619143-healing-word,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
